Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
/p_/c_/o_/f_/g_			NA											Yes
Eukaryota/d_Alveolata/p_/c_/o_/f_/g_	Alveolata		NA											Yes
Eukaryota/d_Alveolata/p_/c_/o_/f_Alphamonaceae/g_Alphamonas	Alphamonas	Alphamonas edax	HET											Yes
Eukaryota/d_Alveolata/p_/c_/o_/f_Chromeraceae/g_Chromera	Chromera	Chromera velia	PHOTO											Yes
Eukaryota/d_Alveolata/p_/c_/o_/f_Vitrellaceae/g_Vitrella	Vitrella	Vitrella brassicaformis	PHOTO											Yes
Eukaryota/d_Alveolata/p_/c_/o_Colponemida/f_Acavomonidia/g_Acavomonas	Acavomonas	Acavomonas peruviana	HET							https://doi.org/10.1371/journal.pone.0095467				Yes
Eukaryota/d_Alveolata/p_/c_/o_Colponemida/f_Colponemidia/g_Colponema	Colponema	Colponema sp.	HET							https://doi.org/10.1371/journal.pone.0095467				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_/f_/g_	Dinophyceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Dinophysiales/f_Dinophysiaceae/g_Dinophysis	Dinophysis	Dinophysis acuminata	MIXO	pSNCM		Photosynthetic Dinophysis spp. obtain plastids from ciliate prey (reviewed in Hansen 2011/ Stoecker et al 2017)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_/g_	Gonyaulacales		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_/g_Lingulodinium	Lingulodinium	Lingulodinium polyedra	MIXO	CM		"ingestion of Skeletonema costatum, Synechococcus"				https://doi.org/10.1111/jeu.12972				Yes
